#DENOMINACIÓN,ORGÁNICA,PROGRAMAS,ECONÓMICA,CRÉDITOS INICIALES,MODIFICACIONES,CRÉDITOS DEFINITIVOS,OBLIGACIONES RECONOCIDAS
Reposición edificios y const: Centro AV Asunción,220,9240,632,,48943.06,48943.06,48943.06
Reparac.conservac.vías rústics: Vías públicas,240,155,210,10000.0,,10000.0,7672.2
"Cánones: Saneamiento,alcantarillado y dep.aguas",240,161,209,12300.0,,12300.0,26127.97
"Recogida,transporte, eliminac.y trat.residuos",240,162,22700,734815.5,-15000.0,719815.5,628832.67
Servicio de limpieza viaria,240,163,22700,880307.2,-105000.0,775307.2,771590.56
Otros suministros: Medio ambiente,240,170,22199,3000.0,-976.02,2023.98,1485.88
Publicidad y propaganda: Medio ambiente,240,170,22602,5000.0,,5000.0,726.0
"Jurídicos, contenciosos: Medio Ambiente",240,170,22604,10000.0,-5000.0,5000.0,27642.48
Otros gastos diversos: Medio ambiente,240,170,22699,1000.0,,1000.0,264.13
Otros contratos servicios: Medio ambiente,240,170,22799,10000.0,123780.0,133780.0,37565.83
Mantenim.conservac.infra.: Parques y jardines,240,171,210,450000.0,-25000.0,425000.0,454821.4
Inversiones en parques y jardines,240,171,619,,42202.2,42202.2,42199.56
Combustible y carburantes: Agricultura,240,410,22103,8000.0,,8000.0,7007.54
Otros suministros diversos: Agricultura,240,410,22199,3500.0,,3500.0,5117.13
Publicidad y propaganda: Agricultura,240,410,22602,2100.0,,2100.0,121.0
Intereses: Deuda pública,301,011,310,925443.37,-346709.94,578733.43,573386.93
Amortiz. préstamos Ip: Deuda pública,301,011,913,2219098.56,-464358.71,1754739.85,1729183.48
"Maquinaria, instalaciones: Política Ec. y fixal",301,931,213,,,,176.22
Material oficina no invent.:Politica economica,301,931,22000,2300.0,,2300.0,11.51
Jurídicos: Política Ec. y fixal,301,931,22604,15000.0,-1500.0,13500.0,15795.49
Estudios y trabajos técnicos: Polít. Ec. y fiscal,301,931,22706,1600.0,,1600.0,4920.66
Adquisición aplicación: S. Económicos,301,931,641,13648.8,,13648.8,13648.8
Material oficina no invent. Gestion S. Trb,301,932,22000,5000.0,,5000.0,6686.46
Otros suministros: Gestión S. Tributaria,301,932,22199,1300.0,,1300.0,
Comunicaciones postales: Gestión del sistema tribu,301,932,22201,30000.0,3500.0,33500.0,20544.49
Servicio recaudación de multas: Gestión S. Trituta,301,932,22502,50000.0,-5400.0,44600.0,44529.03
Publicidad y propaganda: Gestión S. Tributario,301,932,22602,700.0,,700.0,726.0
Estudios y trabajos técnicos: Gestión Sist.Tributa,301,932,22706,22500.0,,22500.0,6569.55
"Formación, reuniones: Gestión deuda y tesorería",301,934,22606,100.0,,100.0,
Gastos formalización y cancelación de préstamos,301,934,311,19000.0,,19000.0,12750.0
Intereses de demora: Gestión deuda y Tesorería,301,934,352,173020.14,-15000.0,158020.14,151830.03
Otros gastos financieros: Gestión deuda y tesorerí,301,934,359,1000.0,,1000.0,3148.37
Transferencia Emsevall: Deficit piscina,301,934,449,250000.0,,250000.0,250000.0
Arrendamiento local SERVEFomento empleo,320,24100,202,37800.0,-5573.25,32226.75,34720.28
Mantenimientp reparación edificios:Fomento Empleo,320,24100,212,1000.0,,1000.0,7408.1
Material de oficinal:Fomento empleo,320,24100,22000,,,,232.15
Primas de Seguros: Fomento empleo,320,24100,224,,,,193.06
Publicidad propaganda: Fomento empleo,320,24100,22602,15000.0,-9500.0,5500.0,3025.74
Otros contratos de servicio:Fomento empleo,320,24100,22799,11000.0,,11000.0,12868.8
Dietas de personal:Fomento empleo,320,24100,23020,1000.0,,1000.0,83.6
Formación reuniones y conferencias:Empleo,320,24110,22606,120000.0,-101223.68,18776.32,7235.61
Subvenciones para el fomento del empleo,320,24110,470,34400.0,12350.0,46750.0,26250.0
Reparación edificios: Taller Empleo Sant Josep,320,24133,212,,25000.0,25000.0,35796.11
Material de oficina: Taller Empleo Sant Josep,320,24133,22000,,,,3197.59
Vestuario: Taller Empleo Sant Josep,320,24133,22104,,,,3846.6
Otro material: Taller Empleo Sant Josep,320,24133,22199,,,,26740.34
Reuniones y conferencias: Taller Empleo Sant Josep,320,24133,22606,,45197.86,45197.86,2805.6
Dietas: Taller Empleo Sant Josep,320,24133,23020,,,,1093.51
Reuniones y conferencias: Tall. Empleo S. Josep II,320,24134,22606,,,,
Otros suministros:PLan Local de Empleo,320,24140,22199,,,,4580.75
Becas: Otra formación para el empleo,320,24140,481,40000.0,-6400.0,33600.0,31993.66
Aportación Consorcio Pacto por el Empleo,320,24141,467,,5573.25,5573.25,5573.25
"Otros suministros:Obras y ser, EMCORP",320,24151,22199,35000.0,-21359.62,13640.38,
Otros suministros: Obras S. E. de Empleo,320,24155,22199,28540.0,,28540.0,22252.73
Material de Oficina: Programa Life Ecocitric,320,412,22000,,3000.0,3000.0,223.4
Reuniones y conferencias: Programa Life Ecocitric,320,412,22606,,10000.0,10000.0,249.12
Estudios y trabajos téc: Programa Life Ecocitric,320,412,22706,,1000.0,1000.0,
Contratos servicios: Programa Life Ecocitric,320,412,22799,,14250.0,14250.0,8469.0
Dietas personal: Programa Life Ecocitric,320,412,23020,,1000.0,1000.0,
Subvención Life: Grupo Vermon S.L.,320,412,473,,31728.0,31728.0,31728.0
Subvención Life: Heliotec 3000 S.L.,320,412,474,,85094.8,85094.8,85094.8
Subvención Life: Fundación Jaume I empresa,320,412,48201,,25918.0,25918.0,25918.0
Subvención Life: Asoc. Valenciana Agricultores,320,412,48204,,42585.2,42585.2,42585.2
Reparac. y conservación edificios:comercio,320,430,212,2132.51,,2132.51,347.08
"Reparacion maquinaria, instal: comercio",320,430,213,,,,2612.2
Material de oficina:comercio,320,430,22000,,,,666.76
Vestuario:Comercio,320,430,22104,,,,
otros suministros diversos:Comercio,320,430,22199,900.0,,900.0,1691.22
Publicidad y propaganda:Comercio,320,430,22602,9000.0,10413.23,19413.23,11781.84
Reuniones y conferencias: Comercio,320,430,22606,16530.74,5100.0,21630.74,12744.61
Estudios y trabajos ténicos: Comercio,320,430,22706,,,,2843.5
otros contratos servicios: Comercio,320,430,22799,16571.9,,16571.9,17074.6
"Maquinaria, instalaciones, utillaje: Comercio",320,430,623,,24486.77,24486.77,24486.77
Reposición edificios y construcciones: Mercado,320,430,632,,45308.0,45308.0,45272.45
Subvenciones línea GreenCommerce,320,43101,470,,10000.0,10000.0,6000.0
Convenio Cámara: Cursos idiomas,320,43102,479,1000.0,,1000.0,1000.0
Otrs suministros:Desarrollo empresarial,320,433,22199,1800.0,,1800.0,907.5
Publicidad y propaganda:Desarrollo empresarial,320,433,22602,2700.0,-2300.0,400.0,
Reuniones y conferencias: Desarrollo empresarial,320,433,22606,2700.0,,2700.0,
Convenio Antenas Locales COCIN: Desarrollo empre,320,433,479,30000.0,,30000.0,29240.63
Fundación Universidad Empresa Jaume I,320,433,48201,6011.0,,6011.0,6010.12
Festejos populares: Fiestas Populares y festejos,430,338,22699,63700.0,1800.0,65500.0,62408.4
Comisión de Fiestas Sant Vicent Ferrer,430,338,48601,15000.0,,15000.0,15000.0
Comisión fiestas Sagrada Familia y Santísimo Crist,430,338,48602,15000.0,,15000.0,15000.0
Comisión Fiestas Junta Local Fallera,430,338,48603,15000.0,,15000.0,15000.0
Comisión Fiestas Penyes en Festes,430,338,48604,15000.0,,15000.0,15000.0
Comisión Federación de Fiestas,430,338,48605,59500.0,7000.0,66500.0,66500.0
Mantenim.rep. y conserv.: Cementerio,450,164,212,4000.0,,4000.0,3456.96
Otros suministros: Cementerio,450,164,22199,4000.0,,4000.0,4417.94
Publicidad y propaganda: Escola d'estiu,450,23211,22602,1000.0,-878.23,121.77,
Otros gastos diversos: Escola d'Estiu,450,23211,22699,4550.0,,4550.0,2944.71
Otros contratos servicios: Escola d'Estiu,450,23211,22799,38921.2,,38921.2,39731.68
Otros gastos diversos: Centre d'Esplai i Jove,450,23212,22699,5500.0,,5500.0,3441.49
Publicidad y propaganda: Universidad popular,450,23213,22602,3500.0,-2000.0,1500.0,2955.69
Contratos profesores Universidad Popular,450,23213,22606,27000.0,4306.39,31306.39,21524.19
Otros gastos diversos: Universidad Popular,450,23213,22699,6000.0,,6000.0,8216.77
Otros gastos diversos: Casal Jove,450,23216,22699,18000.0,-7636.64,10363.36,14154.57
Reuniones y conferencias: Sanidad y consumo,450,313,22606,1000.0,,1000.0,908.71
Control plagas y recog.animales:Sanidad y consumo,450,313,22700,25000.0,,25000.0,24181.27
Premios y Becas Educación,450,320,481,,6000.0,6000.0,6000.0
Convenio Asociación arqueológica,450,320,48506,1000.0,,1000.0,1000.0
Reparación y consv edificios:Educación preesc. pri,450,321,212,44000.0,,44000.0,46037.13
Reparación cons maquin:Educación preescol. primari,450,321,213,8000.0,,8000.0,4723.36
Combustibles y carburantes:Educación preescolar pr,450,321,22103,34000.0,,34000.0,30539.03
Premios y Becas Ed. Preescolar y Primaria,450,321,481,45047.71,-7523.42,37524.29,27439.29
Arrendam. maquinaria: Serv.sociales,470,230,203,700.0,,700.0,
Reparac. maquinaria: Serv.sociales,470,230,213,1700.0,,1700.0,3328.47
aterial oficina no invent:Serv. Sociales,470,230,22000,700.0,,700.0,607.31
Dietas personal: Serv.sociales,470,230,23020,3400.0,-2550.0,850.0,
Publicidad y propaganda: Informac.asesoramiento,470,2311,22602,1630.0,-1630.0,,
Pretaciones Económicas Individuales (PEI),470,23121,480,381500.0,77137.92,458637.92,451907.37
Energía eléctrica: Albergue transeúntes,470,23123,22100,3000.0,-3000.0,,
Productos alimenticios: Albergue transeúntes,470,23123,22105,5000.0,-4000.0,1000.0,
Productos farmacéuticos: Albergue transeúntes,470,23123,22106,400.0,,400.0,
Productos limpieza y aseo: Albergue transeúntes,470,23123,22110,486.0,,486.0,
Otros gastos diversos: Albergue transeúntes,470,23123,22699,730.0,,730.0,1344.41
Renta garantizada,470,23124,480,33048.48,221951.52,255000.0,233218.16
"Otros contratos: Atención menores, (comedores)",470,23125,22799,,11880.64,11880.64,9749.88
Subvenciones acogimientos familiares,470,23131,480,19764.0,-4981.32,14782.68,14782.68
Publicidad y propaganda: Formación de padres,470,23133,22602,1025.0,,1025.0,484.0
Mantenimiento edificio: Clubs de convivencia,470,23134,212,3000.0,,3000.0,2885.86
Subvenciones Clubs de Convivencia,470,23134,48300,10720.0,-10720.0,,
Programa menjar i major a casa,470,23135,450,21055.45,-1037.32,20018.13,10202.87
Reparación parque móvil: Ayuda a domicilio,470,23136,214,1000.0,,1000.0,1196.52
Combustible y carburantes: Ayuda a domicilio,470,23136,22103,1000.0,,1000.0,1069.22
Vestuario: Ayuda a domicilio,470,23136,22104,270.0,,270.0,
Productos limpieza: Ayuda a domicilio,470,23136,22110,450.0,,450.0,
Otros suministros: Ayuda a domicilio,470,23136,22199,2500.0,,2500.0,2322.93
Becas: Tapis,470,23215,481,9000.0,750.0,9750.0,6168.75
Subvenciones Entidades Sociales,470,23221,48300,19000.0,,19000.0,17676.75
Convenio Smara,470,23221,48303,3652.0,,3652.0,954.96
Convenio Manos Unidas,470,23221,48310,6087.0,,6087.0,6087.0
Convenio Tupay,470,23221,48311,4261.0,,4261.0,4261.0
Asociac. cultural Gitana,470,23221,48312,1500.0,,1500.0,1500.0
Centro Cultural Islámico,470,23221,48313,1500.0,,1500.0,1500.0
Otros gastos diversos: Voluntariado Social,470,23222,22699,1620.0,-1097.75,522.25,501.1
Reuniones y conferencias: Tercera edad,470,23223,22606,8100.0,-1000.0,7100.0,7002.3
Otros gastos diversos: Tercera edad,470,23223,22699,16200.0,-6980.0,9220.0,7364.39
Convenio Cáritas,470,23224,48306,34400.0,,34400.0,34400.0
Reuniones y conferencias: Inmigración,470,23225,22606,4725.0,-4000.0,725.0,
Otros gastos diversos: Inmigración,470,23225,22699,24210.86,-23377.51,833.35,76.83
Otros gastos diversos: Discapacitados,470,23226,22699,2430.0,-977.96,1452.04,1452.04
Otros gastos diversos: Dones i Isonomías,470,23227,22699,8000.0,-800.0,7200.0,7355.66
Convenio Isonomía-Universitat Jaume I,470,23227,48306,,1800.0,1800.0,1800.0
Reparac. y conserv. edif.: Centros sociales,470,23228,212,3000.0,,3000.0,2710.23
Repar. y conserv. maquinaria: Centros Sociales,470,23228,213,12000.0,-2000.0,10000.0,10189.63
Combustibles y carburantes: Centros Sociales,470,23228,22103,3000.0,-2300.0,700.0,928.65
Otros suministros: Centros sociales,470,23228,22199,2500.0,2400.0,4900.0,3551.04
Mobiliario: Centros Sociales,470,23228,625,,21779.0,21779.0,21770.1
Convenio J. L. Asoci.Española contra el Cáncer,470,23240,480,,501.62,501.62,501.62
Convenio Asociación Daño Cerebral sobrevenido,470,2331,480,1400.0,-501.62,898.38,898.38
Teleasistencia Cruz Roja,470,2332,48203,,636.75,636.75,
Reparaciones edificios: Hogar Sag.familia,470,2335,212,14400.0,,14400.0,15522.47
Reparaciones maquinaria: Hogar Sag.Familia,470,2335,213,4500.0,,4500.0,4315.47
Combustible y carburantes: Hogar Sag.Familia,470,2335,22103,13500.0,,13500.0,16045.53
Vestuario: Hogar Sag.Familia,470,2335,22104,4500.0,-4000.0,500.0,1249.14
Productos alimenticios: Hogar Sag.Familia,470,2335,22105,123071.5,-31000.0,92071.5,90006.14
Productos limpieza: Hogar Sag.Familia,470,2335,22110,21352.5,-2976.56,18375.94,17342.63
Otros suministros: Hogar Sag.Familia,470,2335,22199,21024.0,,21024.0,9868.89
Otros contratos servicios: Hogar Sag.Familia,470,2335,22799,5400.0,,5400.0,6074.64
"Convenio Fundación Alzheimer ""Salomé Moliner""",470,2336,480,13680.0,,13680.0,13680.0
Mantenim. maquin. instalac.: CRIS,470,2337,213,1800.0,-1000.0,800.0,1754.1
"Mat. oficina, prensa, revistas: CRIS",470,2337,22001,900.0,,900.0,
Combustible y carburantes: CRIS,470,2337,22103,3600.0,,3600.0,3164.9
Otros gastos diversos: CRIS,470,2337,22699,5100.0,-2844.04,2255.96,2221.88
Adquisición equipos informáticos: CRIS,470,2337,626,,1844.04,1844.04,1844.04
Convenio Transp.adap.Fund.Alzheimer Salomé Moliner,470,2339,480,18000.0,,18000.0,15000.0
Convenio Cruz Roja,470,312,48203,30000.0,,30000.0,30000.0
Subvención en especie: Cruz Roja,470,312,782,,45000.0,45000.0,44988.75
Otros gastos diversos: Participación ciudadana,470,9240,22699,3240.0,-3240.0,,
Subvenciones participación ciudadana,470,9240,489,11500.0,,11500.0,11500.0
Arrendamiento maquinaria: Cultura,480,330,203,1350.0,,1350.0,
Reparación y conserv.edificios: Cultura,480,330,212,2600.0,,2600.0,7792.96
Otros gastos diversos: Cultura,480,330,22699,15200.0,600.0,15800.0,3950.7
"Material oficinas (prensa,rev.):Biblioteca y archi",480,332,22001,3900.0,,3900.0,35.4
Publicidad y propaganda: Promoción cultural,480,334,22602,16300.0,,16300.0,22050.22
Otros gastos diversos: Promoción cultural,480,334,22699,15400.0,,15400.0,2280.24
Otros contratos de servicios: Promoción cultural,480,334,22799,6800.0,9750.0,16550.0,43264.17
Convenio Ateneu Musical Schola Cantorum,480,334,48504,8000.0,,8000.0,8000.0
Convenio Centre Instructiu d'Art i Cultura,480,334,48505,8000.0,,8000.0,8000.0
Convenio Unión Musical Vallduxense,480,334,48507,3000.0,,3000.0,3000.0
Convenio Amics de la Vall,480,334,48508,1500.0,,1500.0,1500.0
Convenio Joventuts Musicals,480,334,48509,1000.0,,1000.0,1000.0
"Convenio Junta Coordinadora cofradías S,Santa",480,334,48511,1000.0,,1000.0,1000.0
Convenio Amics de la Vall-Música i Paraula,480,334,48513,2500.0,,2500.0,2500.0
Convenio 75 aniversario Unión Musical,480,334,48514,3000.0,,3000.0,3000.0
Convenio Centre d´Estudis Vallers,480,334,48515,3000.0,-3000.0,,
Otros contratos servicios :Centro Polifin.,480,335,22799,100000.0,-100000.0,,
Otros suministros diversos: Arqueología y patrimon,480,336,22199,2000.0,,2000.0,
Otros gastos diversos: Arqueologia y patrimonio,480,336,22699,3500.0,,3500.0,1137.91
Otros contratos servicios: Arqueología y patrimoni,480,336,22799,3800.0,,3800.0,
Publicidad y propaganda:Juventud,480,9241,22602,500.0,500.0,1000.0,
Reuniones y conferencias:Juventud,480,9241,22606,3500.0,,3500.0,
Otros gastos diversos:Juventud,480,9241,22699,23000.0,,23000.0,28700.69
Otros contratos de servicios:Juventud,480,9241,22799,2000.0,,2000.0,
Material oficina no inventaria.: O. de Gobierno,500,912,22000,2000.0,,2000.0,
Atenciones protocolarias y repres.: Organos gobier,500,912,22601,20000.0,,20000.0,31907.27
Publicidad y propaganda: organos gobierno,500,912,22602,89440.0,-10000.0,79440.0,106235.4
Reuniones y conferencias: Organos gobierno,500,912,22606,,,,658.9
Otros gastos diversos: Organos gobierno,500,912,22699,5000.0,,5000.0,2055.89
Dietas: Organos gobierno,500,912,23000,2000.0,,2000.0,
Otras indemnizaciones: Organos gobierno,500,912,233,160000.0,,160000.0,115350.64
Transferencias grupos políticos: Organos gobierno,500,912,489,45000.0,2796.0,47796.0,47795.88
