#DESCRIPCIÓN,Orgánica,Programa ,Económica,Inicial,Modificaciones,Total,TOTAL O
Reparación vehículos: Medio Ambiente,506.0,170.0,214.0,1000.0,0.0,1000.0,437.07
Reparac.mantenim.vehiculos: Seguridad y orden públ,201.0,132.0,214.0,10000.0,0.0,10000.0,9661.39
Reparac.mantenim.parque móvil: Admón.general,101.0,920.0,214.0,5000.0,0.0,5000.0,149.17
Reparac.parque movil:Ayuda a domicilio,903.0,23103.0,214.0,6000.0,-5691.81,308.19,165.83
Reparac. y mantenim. parque móvil,404.0,151.0,214.0,15000.0,0.0,15000.0,6330.18
Rep.mantenim.equipos informáticos: Admon.general,301.0,920.0,216.0,39900.0,0.0,39900.0,11571.36
Material oficina no invent.: Deportes,1006.0,340.0,22000.0,100.0,0.0,100.0,0.0
Material oficina no invent.: Urbanismo,404.0,151.0,22000.0,3000.0,0.0,3000.0,76.47
Material oficina no inventa.: Seguridad y orden,201.0,132.0,22000.0,2000.0,0.0,2000.0,207.15
Material de oficina: Taller E. Fabrica La Llum,802.0,24117.0,22000.0,0.0,3000.0,3000.0,1844.35
Material de oficina: Taller Empleo Sant Josep 2,802.0,24112.0,22000.0,3000.0,0.0,3000.0,0.0
Material de oficina no invent.: Política económica,1101.0,931.0,22000.0,6000.0,0.0,6000.0,3430.12
Material oficina no invent.Gestión S.Tributario,1201.0,932.0,22000.0,4000.0,0.0,4000.0,3171.02
Material oficina no invent: Admón.general,101.0,920.0,22000.0,17000.0,0.0,17000.0,11457.74
Material de oficina: Fomento del empleo,802.0,24110.0,22000.0,0.0,0.0,0.0,0.0
Material oficina no invent.: Serv. Sociales,903.0,23111.0,22000.0,3200.0,0.0,3200.0,872.79
Material oficina no inventariable: O. de Gobierno,1411.0,912.0,22000.0,2000.0,0.0,2000.0,0.0
Material de oficina: Programa T'avalem,802.0,24119.0,22000.0,0.0,0.0,0.0,843.03
"Mat.oficina, prensa, revistas; CRIS",903.0,23110.0,22001.0,900.0,0.0,900.0,162.85
"Material oficina (prensa, rev.): Biblioteca y arch",1008.0,3321.0,22001.0,3900.0,0.0,3900.0,219.4
Material de oficina(informa): Admón.general,301.0,920.0,22002.0,30000.0,-1000.0,29000.0,11882.56
Energia eléctrica: Albergue transeúntes,903.0,23101.0,22100.0,1000.0,-1000.0,0.0,0.0
Energía eléctrica: Admón.general,404.0,920.0,22100.0,897454.65,0.0,897454.65,578920.03
Combustible y carburantes: Centros sociales,903.0,23115.0,22103.0,3000.0,0.0,3000.0,1435.6
Combustible y carburantes: CRIS,903.0,23110.0,22103.0,3600.0,0.0,3600.0,2504.95
Combustible y carburantes: Ayuda a domicilio,903.0,23103.0,22103.0,1500.0,0.0,1500.0,619.59
Combustible y caburante: Medio Ambiente,506.0,170.0,22103.0,1500.0,0.0,1500.0,101.42
Combustible y carburantes: Hogar Sag.Familia,903.0,23109.0,22103.0,13500.0,0.0,13500.0,10640.31
Combustible y carburantes: Agricultura,510.0,410.0,22103.0,8000.0,0.0,8000.0,2180.21
Combustible parque móvil: Admón.general,101.0,920.0,22103.0,6000.0,-1196.93,4803.07,376.09
Combustibles y carburantes: Instal. deportivas,1006.0,342.0,22103.0,19000.0,0.0,19000.0,6827.69
Combustibles y carburantes:Educación,1009.0,32001.0,22103.0,30000.0,0.0,30000.0,25422.2
Combustible y carburantes: Vías Públicas,405.0,1533.0,22103.0,22000.0,0.0,22000.0,9049.65
Combustible y carburantes: Seguridad y orden públi,201.0,132.0,22103.0,12000.0,0.0,12000.0,11746.72
Vestuario:Instalaciones Deportivas,1006.0,342.0,22104.0,3000.0,0.0,3000.0,0.0
Vestuario: Hogar Sag.Familia,903.0,23109.0,22104.0,3500.0,0.0,3500.0,0.0
Vestuario: Ayuda a domicilio,903.0,23103.0,22104.0,200.0,0.0,200.0,21.72
Vestuario: Taller Empleo Sant Josep 2,802.0,24112.0,22104.0,3250.0,0.0,3250.0,0.0
Vestuario: Programa T'avalem,802.0,24119.0,22104.0,0.0,0.0,0.0,229.73
Vestuario: Vías Públicas,405.0,1533.0,22104.0,6000.0,-616.77,5383.23,1522.32
Vestuario: Seguridad y orden público,201.0,132.0,22104.0,15000.0,0.0,15000.0,8321.01
Productos alimenticios: Albergue transeuntes,903.0,23101.0,22105.0,3000.0,-208.19,2791.81,377.07
Productos alimenticios: Hogar Sag.Familia,903.0,23109.0,22105.0,123071.5,-8217.57,114853.93,68765.82
Productos farmaceuticos: Albergue transeúntes,903.0,23101.0,22106.0,400.0,0.0,400.0,0.0
Productos limpieza y aseo: Albergue transeúntes,903.0,23101.0,22110.0,1000.0,0.0,1000.0,51.91
Productos limpieza: Ayuda a domicilio,903.0,23103.0,22110.0,450.0,0.0,450.0,441.49
Productos limpieza: Hogar Sag.Familia,903.0,23109.0,22110.0,13752.5,0.0,13752.5,15735.96
Otros suministros: Formación desempleados,802.0,24105.0,22199.0,0.0,17100.0,17100.0,19800.88
"Otros suministros: Programa t'avalem, Taula del Senia",802.0,24119.0,22199.0,0.0,37352.0,37352.0,2336.45
Otros suministros: Taller Empleo Sant Josep 2,802.0,24112.0,22199.0,25800.0,-25800.0,0.0,0.0
Otros suministros diversos: Comercio,802.0,430.0,22199.0,4000.0,0.0,4000.0,9169.85
Otros suministros: Ayuda a domicilio,903.0,23103.0,22199.0,2500.0,0.0,2500.0,1764.77
Otros suministros: Hogar Sag Familia,903.0,23109.0,22199.0,16024.0,0.0,16024.0,10256.46
Otros suministros:Cementerio,1005.0,164.0,22199.0,4000.0,0.0,4000.0,2217.66
Otros suministros diversos: Arqueología y patrimon,1008.0,336.0,22199.0,2000.0,0.0,2000.0,0.0
Otros suministros: Gestión S.Tributario,1201.0,932.0,22199.0,1500.0,0.0,1500.0,94.85
Otros suministros: Obras y serv.EMCORP,802.0,24103.0,22199.0,10000.0,-10000.0,0.0,0.0
Otros suministros:Plan Local de Empleo,802.0,24111.0,22199.0,115000.0,-72700.0,42300.0,516.71
Otros suministros diversos:Turismo,803.0,432.0,22199.0,10000.0,0.0,10000.0,6390.09
Otros suministros: Admón general,101.0,920.0,22199.0,7000.0,0.0,7000.0,5967.25
Otros suministros: Protección Civil,201.0,135.0,22199.0,8000.0,0.0,8000.0,7287.42
Otros Suministros: TFIL exclusión social 14/15,802.0,24106.0,22199.0,4700.0,-2200.0,2500.0,0.0
Otros Suministros: TFIL discapacitados 14/15,802.0,24107.0,22199.0,4700.0,-4700.0,0.0,0.0
Otros suministros: Seguridad y orden público,201.0,132.0,22199.0,7000.0,0.0,7000.0,6776.03
Otros suministros: Medio Ambiente,506.0,170.0,22199.0,3000.0,0.0,3000.0,676.07
Otros suministros diversos: Agricultura,510.0,410.0,22199.0,10000.0,0.0,10000.0,250.47
Otros suministros: Obras S.E. estatal,802.0,24104.0,22199.0,30000.0,-7500.0,22500.0,886.71
Otros suministros: Plan Empleo Conjunto 2015,802.0,24108.0,22199.0,10000.0,-10000.0,0.0,0.0
Otros suministros: Proyectos educativos,1009.0,32001.0,22199.0,0.0,0.0,0.0,0.0
Comunicaciones informáticas: Nuevas tecnologias,301.0,920.0,22200.0,131000.0,0.0,131000.0,59229.97
Comunicaciones postales:Gestión del sistema tribut,1201.0,932.0,22201.0,35000.0,0.0,35000.0,22394.65
Comunicaciones postales: Admón. general,101.0,920.0,22201.0,66000.0,-14100.0,51900.0,17566.19
Servicio transporte adaptado Fundación Alzheimer,903.0,23125.0,223.0,0.0,22500.0,22500.0,0.0
Pirmas de Seguros: Fomento de empleo,802.0,24110.0,224.0,80.0,0.0,80.0,0.0
Pirmas de Seguros: Formación desempleados,802.0,24105.0,224.0,0.0,700.0,700.0,595.96
Primas de seguros: Admón.general,101.0,920.0,224.0,130729.97,0.0,130729.97,30054.27
Servicio recaudación ejecutiva: AEAT,1201.0,932.0,22500.0,30000.0,0.0,30000.0,22392.61
Tributos estatales: Admón.general,101.0,920.0,22500.0,500.0,0.0,500.0,0.0
Tributos Generalitat (ITV): Admón.general,101.0,920.0,22501.0,1500.0,0.0,1500.0,0.0
Tributos Generalitat ITV: Seguridad y orden,201.0,132.0,22501.0,1000.0,0.0,1000.0,725.93
Servicio recaudación de multas: Gestión S.Tribu.,1201.0,932.0,22502.0,60000.0,0.0,60000.0,60122.05
Atenciones protocolarias:Turismo,803.0,432.0,22601.0,2000.0,0.0,2000.0,3691.4
Atenciones protocolarias y repres.: Organos gobier,1411.0,912.0,22601.0,20000.0,-9435.2,10564.8,0.0
Publicidad y Propaganda: Vivienda,402.0,1521.0,22602.0,6000.0,0.0,6000.0,0.0
Publicidad y propaganda: Promoc. fomento deporte,1006.0,341.0,22602.0,3000.0,0.0,3000.0,2230.65
Publicidad: Seguridad y orden público,201.0,132.0,22602.0,2000.0,0.0,2000.0,0.0
Publicidad y propaganda: Urbanismo,404.0,151.0,22602.0,3000.0,0.0,3000.0,0.0
Publicidad y propaganda: Promoción cultural,1008.0,334.0,22602.0,24980.0,0.0,24980.0,12122.72
Publicidad y propaganda:Escuela de verano,1009.0,23112.0,22602.0,1500.0,0.0,1500.0,1052.7
Publididad y propaganda:Gestión S.Tributario,1201.0,932.0,22602.0,1000.0,0.0,1000.0,435.6
Publicidad y propaganda: organos gobierno,1411.0,912.0,22602.0,150000.0,0.0,150000.0,169248.84
Publicidad y propaganda: Comercio,802.0,430.0,22602.0,5000.0,0.0,5000.0,3488.34
Publicidad y propaganda: Informac. y asesoram.,903.0,23116.0,22602.0,1630.0,0.0,1630.0,315.0
Material Formación de padres. UPCCA,903.0,23117.0,22602.0,1025.0,0.0,1025.0,0.0
Publididad y propaganda:Pol. Económica y fiscal,1101.0,931.0,22602.0,0.0,0.0,0.0,435.6
Publicidad y propaganda:Formación desempleados,802.0,24105.0,22602.0,0.0,3350.0,3350.0,200.38
Publicidad y propaganda: Medio ambiente,506.0,170.0,22602.0,5000.0,0.0,5000.0,2909.22
Publicidad y propaganda: Agricultura,510.0,410.0,22602.0,2100.0,0.0,2100.0,0.0
Publicidad y propaganda:Fomento de empleo,802.0,24110.0,22602.0,5000.0,0.0,5000.0,0.0
Publicidad y propaganda: Turismo,803.0,432.0,22602.0,15000.0,0.0,15000.0,12044.27
Publicidad y propaganda:Universidad Popular,903.0,23105.0,22602.0,3500.0,0.0,3500.0,484.0
Publicaciones en diarios Of.:Admón.general,101.0,920.0,22603.0,4000.0,0.0,4000.0,6217.46
Jurídicos: Política Ec. y fiscal,1101.0,931.0,22604.0,10000.0,-500.0,9500.0,640.73
Jurídicos: Admón.general,101.0,920.0,22604.0,135750.0,-11000.0,124750.0,91069.27
Jurídicos: Gestión Sistema Tributario,1201.0,932.0,22604.0,0.0,30048.36,30048.36,31815.42
"Jurídicos, contenciosos: Urbanismo",404.0,151.0,22604.0,15000.0,0.0,15000.0,15338.76
"Jurídicos,contenciosos: Medio Ambiente",506.0,170.0,22604.0,15000.0,0.0,15000.0,3630.0
Reuniones y conferencias: Infancia,1006.0,9243.0,22606.0,30000.0,0.0,30000.0,26435.02
"Reuniones, conferencias, cursos:Urbanismo",404.0,151.0,22606.0,400.0,0.0,400.0,0.0
Reuniones y conferencias:Desarrollo empresarial,802.0,433.0,22606.0,85000.0,0.0,85000.0,152.63
"Formación, reuniones: Polít.Ec. y Fiscal",1101.0,931.0,22606.0,1000.0,0.0,1000.0,450.0
Contratos profesores:Universidad Popular,903.0,23105.0,22606.0,48300.0,-13000.0,35300.0,25290.32
Reuniones y conferencias: Comercio,802.0,430.0,22606.0,10000.0,0.0,10000.0,1438.59
Reuniones y conferencias: Sanidad y consumo,1007.0,311.0,22606.0,3000.0,0.0,3000.0,0.0
Reuniones y conferencias: Juventud,1006.0,9242.0,22606.0,45000.0,-4309.7,40690.3,24063.36
Reuniones y conferencias: Fomento del deporte,1006.0,341.0,22606.0,20000.0,0.0,20000.0,22445.77
Reuniones y conferencias:Taller Sant Josep 2,802.0,24112.0,22606.0,3000.0,0.0,3000.0,0.0
"Reuniones, conferencias, sistema tributario",1201.0,932.0,22606.0,0.0,0.0,0.0,720.0
Reuniones y conferencias: Agricultura,510.0,410.0,22606.0,0.0,0.0,0.0,270.0
Reuniones y conferencias: T.E. Fabrica La Llum,802.0,24117.0,22606.0,0.0,3240.0,3240.0,198.0
Reuniones y conferencias: Tercera edad,903.0,23107.0,22606.0,16000.0,0.0,16000.0,6456.19
"Reuniones y conferencias: Programa t'avalem, Taula Senia",802.0,24119.0,22606.0,0.0,2200.0,2200.0,2500.0
Reuniones y conferencias:Fomento de empleo,802.0,24110.0,22606.0,24000.0,-11690.62,12309.38,156.2
Otros gastos diversos: Medio Ambiente,506.0,170.0,22699.0,21485.0,0.0,21485.0,10906.1
Otros gastos diversos: Urbanismo,404.0,151.0,22699.0,100.0,0.0,100.0,140.36
Otros gastos diversos: Casal Jove,1006.0,23113.0,22699.0,18000.0,0.0,18000.0,8775.0
Otros gastos diversos:Centre d'esplai i Jove,1006.0,23104.0,22699.0,7000.0,0.0,7000.0,2444.68
Festejos populares:Fiestas Populares y festejos,1005.0,338.0,22699.0,68152.6,0.0,68152.6,55204.16
Otros gastos diversos: Participación y transparenc,903.0,9241.0,22699.0,27500.0,0.0,27500.0,0.0
Otros gastos diversos: Discapacitados,903.0,23119.0,22699.0,1500.0,0.0,1500.0,526.8
Otros gastos diversos: Voluntariado social,903.0,23118.0,22699.0,1500.0,0.0,1500.0,0.0
Otros gastos diversos: Admón.general,101.0,920.0,22699.0,2500.0,0.0,2500.0,1975.37
Otros gastos diversos: Organos gobierno,1411.0,912.0,22699.0,5000.0,0.0,5000.0,13669.03
Gastos diversos: Proyectos educativos,1009.0,32001.0,22699.0,20000.0,0.0,20000.0,26158.06
Otros gastos diversos: Promoción cultural,1008.0,334.0,22699.0,28000.0,3123.5,31123.5,3553.6
Otros gastos diversos: Arqueologia y patrimonio,1008.0,336.0,22699.0,3000.0,0.0,3000.0,4961.0
Otros gastos diversos: Escuela de verano,1009.0,23112.0,22699.0,6500.0,0.0,6500.0,6019.73
Otros gastos diversos: Cultura,1008.0,330.0,22699.0,10000.0,0.0,10000.0,6008.41
Gastos diversos:Ciudades sanas,1007.0,311.0,22699.0,1000.0,0.0,1000.0,0.0
Gastos diversos: Escuelas deportivas municipales,1006.0,341.0,22699.0,12000.0,0.0,12000.0,7039.2
Otros gastos diversos: Deportes,1006.0,340.0,22699.0,500.0,0.0,500.0,0.0
Otros gastos diversos: Dones i Isonomía,903.0,23120.0,22699.0,12000.0,0.0,12000.0,2063.26
Otros gastos diversos: CRIS,903.0,23110.0,22699.0,4500.0,0.0,4500.0,849.17
Otros gastos diversos: Inmigración,903.0,23108.0,22699.0,12000.0,0.0,12000.0,4735.01
Otros gastos diversos: Tercera edad,903.0,23107.0,22699.0,8000.0,0.0,8000.0,6806.51
Otros gastos diversos:Universidad Popular,903.0,23105.0,22699.0,6700.0,0.0,6700.0,3027.18
Otros gastos diversos: SEAFI,903.0,23102.0,22699.0,1000.0,0.0,1000.0,154.8
Gastos elaboración proyectos europeos,802.0,24110.0,22699.0,20000.0,0.0,20000.0,18512.73
Otros gastos diversos: Albergue transeuntes,903.0,23101.0,22699.0,730.0,0.0,730.0,350.16
"Recogida, transporte, eliminac.y trat.residuos",506.0,1621.0,22700.0,776837.75,0.0,776837.75,429230.36
Servicio de limpieza viaria,506.0,163.0,22700.0,951324.92,0.0,951324.92,512251.88
Control plagas y recog.animales: Sanidad y consumo,1007.0,311.0,22700.0,79040.0,0.0,79040.0,47595.81
Contrato gestión de estacionam. vehículos,201.0,133.0,22701.0,323041.52,0.0,323041.52,163299.74
Estudios y trabajos técnicos: Gestión Sist.tributa,1201.0,932.0,22706.0,12000.0,-2705.19,9294.81,3039.57
Expediente tramitación electrónica,301.0,920.0,22706.0,58927.0,0.0,58927.0,44195.22
Estudios y trabajos técnicos: Polít. ec. y Fsical,1101.0,931.0,22706.0,20000.0,0.0,20000.0,1568.16
Estudios y trabajos técnicos:Taller Sant Josep 2,802.0,24112.0,22706.0,10000.0,-9952.4,47.6,0.0
Estudios y trabajos técnicos: Urbanismo,404.0,151.0,22706.0,50000.0,0.0,50000.0,41033.22
"Recogida, transporte, eliminac.y trat.residuos. Sentencias",506.0,1621.0,22710.0,0.0,0.0,0.0,40905.72
Servicio de limpieza viaria. Sentencias,506.0,163.0,22711.0,0.0,0.0,0.0,49733.99
Otros contratos servicios: Arqueología y patrimoni,1008.0,336.0,22799.0,3000.0,0.0,3000.0,1367.3
Otros contratos servicios: Escuela de verano,1009.0,23112.0,22799.0,60000.0,36875.48,96875.48,58440.0
Otros contratos servicios:Educación,1009.0,32001.0,22799.0,25000.0,0.0,25000.0,21160.27
Otros Contratos Servicios: Vivienda,402.0,1521.0,22799.0,10000.0,0.0,10000.0,0.0
Otros Servicios:Desarrollo empresarial,802.0,433.0,22799.0,15000.0,0.0,15000.0,24933.47
Otros contratos servicios: Admón.general,101.0,920.0,22799.0,20000.0,0.0,20000.0,14106.34
Otros contratos servicios: Centro Polifuncional,1008.0,33501.0,22799.0,326760.0,0.0,326760.0,179432.48
Otros trabajos realizados empresas:Seg. y Orden pú,201.0,132.0,22799.0,14000.0,0.0,14000.0,10312.64
Servicios y mantenimiento: Admón.general,301.0,920.0,22799.0,65000.0,0.0,65000.0,51480.6
Otros contratos servicios: Medio Ambiente,506.0,170.0,22799.0,40000.0,3000.0,43000.0,25940.67
Otros contratos externos: Agricultura,510.0,410.0,22799.0,3000.0,15000.0,18000.0,0.0
Otros contratos servicios: Instalaciones eléctricas,404.0,920.0,22799.0,0.0,0.0,0.0,8661.78
Otros contratos servicios: T. E. Fabrica La Llum,802.0,24117.0,22799.0,0.0,9852.0,9852.0,8345.69
Otros contratos servicios: Fomento empleo,802.0,24110.0,22799.0,7500.0,0.0,7500.0,7209.47
Otros contratos servicios:Comercio,802.0,430.0,22799.0,20000.0,0.0,20000.0,17900.0
Otros contratos servicios: Turismo,803.0,432.0,22799.0,10000.0,13498.88,23498.88,7516.62
Otros contratos servicios: Hogar Sag.Familia,903.0,23109.0,22799.0,6000.0,0.0,6000.0,3106.31
Otros contratos sanitarios:Cruz Roja,1007.0,311.0,22799.0,48569.0,0.0,48569.0,4442.82
Otros contratos de servicios: Promoción cultural,1008.0,334.0,22799.0,75103.0,3239.68,78342.68,44380.77
Dietas:Organos de gobierno,1411.0,912.0,23000.0,2000.0,0.0,2000.0,0.0
Dietas personal: Admón.general,101.0,920.0,23020.0,3000.0,0.0,3000.0,809.61
Dietas personal: Servicios sociales,903.0,23111.0,23020.0,500.0,0.0,500.0,0.0
Dietas de personal: Fomento de empleo,802.0,24110.0,23020.0,500.0,0.0,500.0,135.0
Dietas de personal: T. E. Fabrica La Llum,802.0,24117.0,23020.0,0.0,1300.0,1300.0,0.0
Gastos locomoción: Organos de gobierno,1411.0,912.0,23100.0,0.0,0.0,0.0,0.0
Gastos Locomoción Admón general,101.0,920.0,23120.0,2000.0,0.0,2000.0,1863.77
Otras indemnizaciones: Admón.general,101.0,920.0,233.0,8000.0,0.0,8000.0,13675.97
Otras indemnizaciones:Organos de gobierno,1411.0,912.0,233.0,160000.0,0.0,160000.0,77233.76
Limpieza y aseo: Admón. general,101.0,920.0,250.0,1235046.97,0.0,1235046.97,785468.72
Intereses:Deuda Pública,1101.0,011.0,310.0,222176.26,-117409.66,104766.6,55177.48
Gastos formalización y cancelación de préstamos,1101.0,934.0,311.0,5000.0,0.0,5000.0,0.0
Intereses de demora:Gestión deuda y Tesorería,1101.0,934.0,352.0,75000.0,102361.3,177361.3,91913.51
Otros gastos financieros:Gestión deuda y tesorería,1101.0,934.0,359.0,4000.0,0.0,4000.0,1715.74
Subvención Emsevall: Sevicio trasnporte,1101.0,442.0,44900.0,120233.56,0.0,120233.56,120233.56
Transferencia Emsevall: Servicio piscina,1101.0,934.0,44901.0,88021.26,0.0,88021.26,88021.26
Transferencia Emsevall:Servicio Grutas,1101.0,934.0,44902.0,1283020.62,0.0,1283020.62,1283020.62
Transferencia Emsevall: Servicios Comunes,1101.0,934.0,44903.0,60121.8,0.0,60121.8,60121.8
Transferencia Emsevall: Pérdidas y Ganancias,1101.0,934.0,44904.0,35434.33,0.0,35434.33,35434.33
Programa menjar i major a casa,903.0,23121.0,450.0,29176.8,0.0,29176.8,5192.04
Aportación patronato provincial turismo,1411.0,432.0,461.0,3700.0,0.0,3700.0,0.0
Aportación Consorcio Prov.Serv.Prev.Incendios,101.0,136.0,467.0,188468.25,616.77,189085.02,189085.02
Convenio Antenas Locales COCIN:Desarrollo empre,802.0,433.0,479.0,40500.0,0.0,40500.0,0.0
Subvención ayudas refugiados,903.0,23129.0,480.0,10000.0,-10000.0,0.0,0.0
Prestaciones económicas individuales (PEI),903.0,23122.0,480.0,475000.0,0.0,475000.0,347651.65
Subvenciones acogimientos familiares,903.0,23124.0,480.0,19764.0,21720.0,41484.0,41484.0
Subvencion programa dones,903.0,23120.0,480.0,3000.0,0.0,3000.0,0.0
Renta Garantizada,903.0,23123.0,480.0,134326.08,307386.4,441712.48,181553.27
Convenio escuela laboral Carbonaire,1009.0,326.0,481.0,11000.0,0.0,11000.0,0.0
Subvenciones entidades comerciales,802.0,430.0,481.0,25000.0,0.0,25000.0,1100.0
Becas: Otra formación para el empleo,802.0,24111.0,481.0,20000.0,0.0,20000.0,10000.0
Becas: Tapis,903.0,23126.0,481.0,11000.0,0.0,11000.0,2812.5
Premios y becas: Programas educativos,1009.0,32003.0,481.0,34500.0,12360.0,46860.0,13223.01
Subvenciones Consorcio Pacto Territorial Empleo,802.0,462.0,48200.0,60000.0,0.0,60000.0,46500.0
Subvenciones desarrollo empresarial y coop.,802.0,433.0,48200.0,15000.0,0.0,15000.0,0.0
Subvenciones Entidades Culturales,1008.0,334.0,48200.0,30000.0,-5000.0,25000.0,0.0
Convenio drones operaciones vigilancia,510.0,170.0,48200.0,15000.0,-15000.0,0.0,0.0
Subvenciones entidades ecologistas,506.0,170.0,48200.0,3000.0,-3000.0,0.0,0.0
Fundación Universidad Empresa Jaume I,802.0,433.0,48201.0,6100.0,0.0,6100.0,0.0
Aport.Federación Municipios y Provincias:Admón.gen,1411.0,920.0,48202.0,9000.0,0.0,9000.0,0.0
Convenio Cruz Roja,903.0,312.0,48203.0,20000.0,0.0,20000.0,0.0
Subvenciones entidades sociales,903.0,23111.0,48300.0,21000.0,0.0,21000.0,0.0
Convenio Cáritas-Centres d'esplai,903.0,23127.0,48300.0,24710.0,0.0,24710.0,0.0
Convenio Club Ciclista Manrubia,1006.0,341.0,48303.0,2700.0,0.0,2700.0,1350.0
Convenio Smara,903.0,23111.0,48303.0,5000.0,0.0,5000.0,0.0
Convenio Cáritas General,903.0,23127.0,48306.0,34400.0,0.0,34400.0,0.0
Convenio Manos Unidas,903.0,23111.0,48310.0,12174.0,0.0,12174.0,0.0
Convenio Tupay,903.0,23111.0,48311.0,5000.0,0.0,5000.0,0.0
Asoc.cultural gitana,903.0,23111.0,48312.0,1500.0,0.0,1500.0,0.0
Fundación daño cerebral sobrevenido,903.0,23111.0,48315.0,1400.0,0.0,1400.0,0.0
Convenio Fundac.Alzheimer Salomé Moliner,903.0,23111.0,48316.0,19152.0,0.0,19152.0,0.0
Convenio transp.adap.funda. Alzheimer Salomé Molin,903.0,23125.0,48317.0,22500.0,-22500.0,0.0,0.0
Subvenciones Asociaciones jubilados y pensionistas,903.0,23114.0,48318.0,10000.0,0.0,10000.0,0.0
Subvenciones a entidades deportivas,1006.0,341.0,48400.0,40000.0,0.0,40000.0,11198.0
Convenio Unión  Deportiva Vall de Uxo,1006.0,341.0,48401.0,40000.0,-20000.0,20000.0,20000.0
Convenio Club Espadan Trail La Vall D'uixó,1006.0,341.0,48410.0,5000.0,0.0,5000.0,5000.0
Convenio Campeonato Mundo Fitness,1006.0,341.0,48411.0,5000.0,0.0,5000.0,5000.0
"Convenio Campeonato España, Club Triatlón La Vall",1006.0,341.0,48412.0,15000.0,0.0,15000.0,15000.0
Convenio Club de Futbol La Vall,1006.0,341.0,48413.0,0.0,20000.0,20000.0,20000.0
Convenio Ateneu Musical Schola Cantorum,1008.0,334.0,48504.0,9000.0,0.0,9000.0,0.0
Convenio Centre Instructiu d'Art i Cultura,1008.0,334.0,48505.0,9000.0,0.0,9000.0,0.0
Convenio Unión Musical Vallduxense,1008.0,334.0,48507.0,4000.0,0.0,4000.0,0.0
Convenio Juventuts Musicals,1008.0,334.0,48509.0,1500.0,0.0,1500.0,0.0
Convenio Junta Coordinadora cofradías S.Santa,1008.0,334.0,48511.0,1000.0,0.0,1000.0,1000.0
Convenio Palau Marquesos de Vivel,1008.0,334.0,48516.0,12000.0,0.0,12000.0,0.0
Asociac. internacional ciudades educadoras,1009.0,334.0,48518.0,220.0,0.0,220.0,220.0
Convenio A.C. Dames y Cavallers,1008.0,334.0,48520.0,10000.0,0.0,10000.0,4121.75
"Convenio ""Escuela Valenciana""",1009.0,32001.0,48522.0,5000.0,0.0,5000.0,0.0
"Subvención ""Cultura Mutant"" Associació d'Artistes",1008.0,334.0,48523.0,0.0,2450.0,2450.0,0.0
Convenio Museo de la Paz,1008.0,334.0,48525.0,6000.0,0.0,6000.0,0.0
Subvenciones AMPA´S,1009.0,32001.0,48525.0,6000.0,-6000.0,0.0,0.0
Comisión de Fiestas:Sant Vicent Ferrer,1005.0,338.0,48601.0,15000.0,0.0,15000.0,14422.2
Comisión fiestas Sagrada Familia y Santísimo Crist,1005.0,338.0,48602.0,15000.0,0.0,15000.0,12000.0
Comisión Fiestas Junta Local Fallera,1005.0,338.0,48603.0,15000.0,0.0,15000.0,12000.0
Comisión Fiestas Penyes en Festes,1005.0,338.0,48604.0,15000.0,0.0,15000.0,12000.0
Comisión Federación de Fiestas,1005.0,338.0,48605.0,66500.0,0.0,66500.0,53200.0
Transferencias grupos políticos:Organos de Gobiern,1411.0,912.0,489.0,80000.0,0.0,80000.0,34354.09
Subvenciones particip.ciudadana,903.0,9241.0,489.0,12500.0,0.0,12500.0,0.0
Adquisición terrenos: Instalaciones deportivas,404.0,342.0,600.0,0.0,16290.2,16290.2,0.0
Otras inversiones: Parques y jardines,704.0,171.0,619.0,85000.0,0.0,85000.0,23769.07
Otras inversiones: Vías Públicas,404.0,155.0,619.0,262000.0,622611.58,884611.58,87366.24
"Otras inversiones: Alcantarillado, saneamiento",404.0,160.0,619.0,0.0,4300.0,4300.0,0.0
Proyecto rehabilitación: Museo,404.0,333.0,623.0,60000.0,-11044.08,48955.92,10285.0
Inversiones edificios turismo,404.0,430.0,623.0,20000.0,-20000.0,0.0,0.0
Suministro: Sanidad,1007.0,311.0,623.0,13500.0,0.0,13500.0,0.0
Reposición instalaciones: Servicios Generales,101.0,920.0,623.0,0.0,2319.81,2319.81,2319.81
Inversiones en instalaciones edificos: Centros sociales,405.0,23115.0,623.0,0.0,760.0,760.0,0.0
"Maquinaria, instalaciones, utillaje: Instalaciones deportivas",1006.0,342.0,623.0,0.0,0.0,0.0,0.0
Adecuación instalaciones: Biblioteca municipal,404.0,3321.0,623.0,0.0,10620.58,10620.58,0.0
"Maquinaria, instalac.y utill: Medio ambiente",704.0,171.0,623.0,0.0,0.0,0.0,7014.87
Reposición Edificios:TIC,301.0,920.0,623.0,34325.0,-1670.05,32654.95,17085.33
Instalaciones Maquinaria: Residencia de ancianos,903.0,23109.0,623.0,40000.0,4853.57,44853.57,0.0
Adecuación instalaciones calefacción educación,404.0,32001.0,623.0,12000.0,0.0,12000.0,0.0
Inversiones en edificios municipales: S.Generales,405.0,920.0,623.0,189034.79,-6129.95,182904.84,62507.43
Suministro vehículos: Servicio Ayuda Domicilio,903.0,23103.0,624.0,0.0,6900.0,6900.0,6897.0
