#DENOMINACIÓN,ORGÁNICA,PROGRAMAS,ECONÓMICA,CRÉDITOS INICIALES,MODIFICACIONES,CRÉDITOS DEFINITIVOS,OBLIGACIONES RECONOCIDAS
Aportación patronato provincial turismo,110,432,461,3700.0,,3700.0,
Fundación Universidad Empresa Jaume I,320,433,48201,6100.0,,6100.0,6010.12
Construcción nichos y obras cementerio,220,164,622,134427.51,57847.6,192275.11,57847.6
Edificios y construcciones: Servicios múltiples,220,933,632,170517.9,38476.14,208994.04,38476.14
Amortiz. préstamos Ip: Deuda pública,301,011,913,1865919.79,-56611.96,1809307.83,1729122.61
Gastos formalización de préstamos,301,934,311,,9250.0,9250.0,20250.0
Otros suministros: Taller empleo Ecovall,320,24103,22199,,,,38569.69
Material de oficina: Taller Empleo Ecovall,320,24103,220,,,,6457.32
"Formación, reuniones y conf. : Acciones OPEA",320,24113,22606,,,,144.28
Suministros telecomunicaciones: Polític.ec. y Fisc,301,931,22112,,,,197.78
Inversión terrenos y b.: Instalaciones deportivas,220,342,621,,1111402.93,1111402.93,1111402.93
Gratificaciones: Educación,160,320,151,,6700.0,6700.0,3311.8
Productividad: Admón Gral Fomento Empleo,160,24100,150,,,,1238.4
Productividad: Admón Gral SS,160,230,150,,1500.0,1500.0,1393.2
Reparación parque móvil: Ayuda a domicilio,470,23136,214,,177.0,177.0,832.21
Tributos Generalitat (ITV): Seguridad y Orden Públ,170,132,22501,,,,66.82
Adquisición vehículo: Vías Públicas,220,154,624,,9440.0,9440.0,9440.0
Convenio Transp.adap.Fund.Alzheimer Salomé Moliner,470,2339,480,,4500.0,4500.0,3225.0
Inversiones en parques y jardines,220,171,619,,1600.0,1600.0,1544.4
Subvención Consorcio Pacto por el Empleo,320,24141,467,,15943.51,15943.51,15943.51
Arrendam. equipos informáticos: Nuevas tecnologías,180,9200,206,,,,
Ret.básicas: Seg.y orden público,160,132,120,691538.95,3890.42,695429.37,625908.84
Ret.compl.: Seguridad y orden público,160,132,121,1035262.24,37290.85,1072553.09,1029924.89
Pers.lab.temporal: Seg. y orden público,160,132,131,,,,
Productividad: Seg. y orden público,160,132,150,4000.0,9190.32,13190.32,5445.43
Gratificaciones: Seg. y Orden Público,160,132,151,40000.0,-21905.26,18094.74,28668.09
Retrib. básicas: Urbanismo,160,151,120,195464.58,31532.62,226997.2,169118.7
Ret.complement.: Urbanismo,160,151,121,264018.78,-15358.32,248660.46,237350.56
Pers.lab. Temporal: Urbanismo,160,151,131,109538.02,-28434.59,81103.43,65323.9
Productividad: Urbanismo,160,151,150,1500.0,3094.5,4594.5,4792.2
Pers.Lab.Temporal: Acceso a la vivienda,160,153,131,36047.94,,36047.94,6007.99
Ret.básicas: Vías públicas,160,155,120,230532.67,,230532.67,223320.84
Ret.complementarias: Vías Públicas,160,155,121,323650.48,,323650.48,355588.05
Pers.Lab. temporal: Vías públicas,160,155,131,74477.04,-22989.82,51487.22,46863.03
Productividad: Vías públicas,160,155,150,2500.0,6100.0,8600.0,10969.05
Gratificaciones: Vías Públicas,160,155,151,17000.0,4100.0,21100.0,12213.22
Gratificaciones: Saneam.alcantarillado agua,160,161,151,10000.0,,10000.0,
Ret.básicas cementerio,160,164,120,8477.18,350.0,8827.18,12444.96
Ret. complementarias cementerio,160,164,121,14341.0,1045.0,15386.0,22628.53
Personal laboral: Cementerio,160,164,130,,,,1461.5
Pers.lab.temporal: cementerio,160,164,131,26927.08,17596.2,44523.28,33718.41
Ret.básicas: Medio Ambiente,160,170,120,64243.14,8452.69,72695.83,58617.01
Ret.complementarias: Medio Ambiente,160,170,121,88851.32,-11027.98,77823.34,83913.52
Otros suministros: Desarrollo empresarial,320,433,22199,,1800.0,1800.0,2327.62
Publicidad y propaganda: Desarrollo empresarial,320,433,22602,,2700.0,2700.0,1950.0
Reuniones y conferencias: Desarrollo empresarial,320,433,22606,,2519.34,2519.34,3219.4
Reuniones y conferencias: Organos de Gobierno,500,912,22606,,,,135.0
Transferencia Emsevall: Préstamo ICO proveedores,301,934,449,,347879.66,347879.66,333321.11
Limpieza y aseo: Admón general,160,9200,250,966730.96,81000.0,1047730.96,1045874.01
Servicio recaudación de multas: Gestión S. Trituta,301,932,22502,50000.0,-21240.0,28760.0,
Energía eléctrica: Fiestas y festejos populares,430,338,22100,6736.74,-6736.74,,
Otros gastos diverso: Fiestas Populares y festejos,430,338,22699,50000.0,7000.0,57000.0,55377.48
Energía eléctrica: Alumbrado Público,220,165,22100,666219.21,-418185.33,248033.88,248033.88
Energía eléctrica: Admón. Gral.Servicios Sociales,220,230,22100,713.03,-475.72,237.31,237.31
Energía eléctrica: Clubs de Convivencia,220,23134,22100,8589.06,-6024.49,2564.57,2564.57
Energía eléctrica: UPC,220,23216,22100,1492.46,-778.66,713.8,713.8
Energía eléctrica: Centros sociales,220,23228,22100,25866.56,-15446.24,10420.32,9002.43
Energía eléctrica: Hogar Sag.Familia,220,2335,22100,26231.27,-18232.66,7998.61,7998.61
Energía eléctrica: CRIS,220,2337,22100,4766.69,-3159.34,1607.35,1607.35
Energía eléctrica: Educación,220,320,22100,100117.72,-60230.18,39887.54,39887.54
Energía eléctrica: Cultura,220,330,22100,12144.14,-7401.7,4742.44,4742.44
Energía eléctrica: Arqueología y prot.patrimonio,220,336,22100,963.12,-490.51,472.61,472.61
Energía eléctrica: Deportes,220,340,22100,43134.98,-22825.24,20309.74,20309.74
Energía eléctrica: Comercio,220,430,22100,2796.77,-1635.48,1161.29,1161.29
Energía eléctrica: Admón. general,220,9200,22100,50530.19,556947.41,607477.6,602241.69
Energía eléctrica: Juzgado de Paz,220,9201,22100,673.49,-349.12,324.37,324.37
Arrendam. local SERVEF: Fomento empleo,320,24100,202,31893.33,3600.0,35493.33,35638.78
Mantenim. reparac. edificios: Fomento de empleo,320,24100,212,1800.0,,1800.0,411.25
Publicidad y propaganda: Fomento empleo,320,24100,22602,24192.0,-18054.44,6137.56,96.8
Otros contratos de servicios: Fomento Empleo,320,24100,22799,,,,2622.84
Dietas de personal: Fomento empleo,320,24100,23020,12096.0,-11673.36,422.64,
"Formación, reuniones y conferencias: Empleo",320,24110,22606,140000.0,-123753.68,16246.32,4085.91
Otros suministros: Protección civil,170,134,22199,,3000.0,3000.0,3064.66
Reuniones y conferencias: T.E. Ecovall,320,24103,22606,56518.14,,56518.14,
Otros suministros: TFIL discapacitados recep,320,24104,22199,10000.0,,10000.0,628.23
Formac. y reuniones: TFIL experto limpieza,320,24102,22606,8746.6,-6000.0,2746.6,2358.94
Otros suministros: Obras y serv. EMCORP,320,24151,22199,35000.0,-26000.0,9000.0,
Otros suministros: Obras y serv.INEM,320,24155,22199,28540.0,20000.0,48540.0,20920.1
Reparac. y conservac.edificios: comercio,320,430,212,2132.51,,2132.51,808.17
Otros suministros diversos: Comercio,320,430,22199,900.0,,900.0,343.42
Publicidad y propaganda: Comercio,320,430,22602,9000.0,5000.0,14000.0,10779.08
Reuniones y conferencias: Comercio,320,430,22606,4294.47,,4294.47,384.93
Otros contratos servicios:Comercio,320,430,22799,16571.9,,16571.9,11749.31
Otros suministros diversos,110,432,22199,3000.0,-3000.0,,
Atenciones protocolarias: Turismo,110,432,22601,6000.0,-1500.0,4500.0,2821.64
Publicidad y propaganda: Turismo,110,432,22602,18000.0,,18000.0,16186.89
Otros contratos servicios: Turismo,110,432,22799,5900.0,,5900.0,9000.0
Otros suministros: Desarrollo empresarial,110,433,22199,1800.0,-1800.0,,
Publicidad y propaganda: Desarrollo empresarial,110,433,22602,2700.0,-2700.0,,
Reuniones y conferencias: Desarrollo empresarial,110,433,22606,2700.0,-2519.34,180.66,180.66
Otras inversiones vías públicas,220,155,619,680864.76,37405.6,718270.36,131620.32
Retribuciones básicas: Acceso a la vivienda,160,153,120,,,,10504.89
Retribuciones complementaria: Acceso a la vivienda,160,153,121,,4200.0,4200.0,16551.18
Pers.lab..temporal: Educación,160,320,131,,,,4898.07
Gratificaciones: Comercio,160,430,151,,1046.11,1046.11,377.0
Inversiones reposición edificios: Mercado,220,430,632,,48474.33,48474.33,48474.33
Maquinaria y utillaje: Vías Públicas,220,155,623,,1455.09,1455.09,1455.09
Elementos de transporte: Vías Públicas,220,155,624,,18455.6,18455.6,18455.6
Material de oficina: Fomento de empleo,320,24100,220,,,,
Nuevas inversiones infraestructuras: Vías Públicas,220,155,609,,86484.71,86484.71,21484.71
Productividad: Medio Ambiente,160,170,150,,,,200.0
Arrendamiento instalaciones: Comercio,320,430,203,,,,5325.06
Mobiliario: Centros Sociales,470,23228,625,,1400.0,1400.0,1399.99
Equipos informáticos: Centros Sociales,470,23228,626,,2000.0,2000.0,1999.79
Edificios y construcciones: Instalaciones deportiv,220,342,632,,25760.16,25760.16,25760.16
Reparación y conservación edificios: Deportes,190,340,212,,26000.0,26000.0,
