#DENOMINACIÓN,ORGÁNICA,PROGRAMAS,ECONÓMICA,CRÉDITOS INICIALES,MODIFICACIONES,CRÉDITOS DEFINITIVOS,OBLIGACIONES RECONOCIDAS
Otros gastos financieros: Gestión deuda y tesorerí,301,934,359,1000.0,1000.0,2000.0,325.92
Convenio Ateneu Musical Schola Cantorum,480,334,48504,8000.0,,8000.0,8000.0
Convenio Centre Instructiu d'Art i Cultura,480,334,48505,8000.0,2600.0,10600.0,10600.0
Convenio Unión Musical Vallduxense,480,334,48507,1500.0,1500.0,3000.0,3000.0
Convenio Amics de la Vall,480,334,48508,1500.0,,1500.0,1500.0
Convenio Joventuts Musicals,480,334,48509,1000.0,,1000.0,1000.0
Convenio Asociación Cultural Petit Festival,480,334,48510,500.0,-500.0,,
"Convenio Junta Coordinadora cofradías S,Santa",480,334,48511,1000.0,,1000.0,1000.0
"Convenio ""Comisión Órgano 2000""",480,334,48512,1000.0,-1000.0,,
Convenio Club de Fútbol La Vall,190,341,48401,15000.0,,15000.0,15000.0
Convenio Club Ciclista Manrubia,190,341,48403,2700.0,,2700.0,2700.0
Subvención Club Terratremols Open España,190,341,48404,1000.0,,1000.0,1000.0
Convenio Unión Deportiva Vall de Uxó,190,341,48408,15000.0,,15000.0,15000.0
Comisión de Fiestas Sant Vicent Ferrer,430,338,48601,15000.0,,15000.0,15000.0
Comisión fiestas Sagrada Familia y Santísimo Crist,430,338,48602,15000.0,,15000.0,15000.0
Comisión Fiestas Junta Local Fallera,430,338,48603,15000.0,,15000.0,15000.0
Comisión Fiestas Penyes en Festes,430,338,48604,15000.0,,15000.0,15000.0
Comisión Federación de Fiestas,430,338,48605,59500.0,,59500.0,59500.0
Aportación Consorcio Prov.Serv.Prev.incendios,160,134,467,183753.85,,183753.85,183753.85
Aport. Federación Municipios y Provincias: Admón.g,160,9200,48202,9000.0,,9000.0,8592.23
Pretaciones Económicas Individuales (PEI),470,23121,480,301500.0,97194.48,398694.48,392178.85
Renta garantizada,470,23124,480,33048.48,135981.0,169029.48,161603.71
Subvenciones acogimientos familiares,470,23131,480,19764.0,-4953.5,14810.5,13320.0
Subvenciones Clubs de Convivencia,470,23134,48300,10720.0,2100.0,12820.0,12820.0
Becas: Tapis,470,23215,481,9000.0,,9000.0,4596.15
Subvenciones Entidades Sociales,470,23221,48300,19000.0,,19000.0,18679.52
Convenio Asociación Daño Cerebral sobrevenido,470,2331,480,1400.0,,1400.0,1400.0
"Convenio Fundación Alzheimer ""Salomé Moliner""",470,2336,480,13680.0,,13680.0,8208.0
Convenio Cruz Roja,470,312,48203,47500.0,-17500.0,30000.0,30000.0
Subvenciones participación ciudadana,470,9240,489,11500.0,-4200.0,7300.0,6809.4
Subvención Emsevall: servicio transporte,220,442,449,112560.0,,112560.0,112560.0
Becas: Otra formación para el empleo,320,24140,481,30000.0,2000.0,32000.0,30452.62
Aportación patronato provincial turismo,110,432,461,3700.0,,3700.0,
Fundación Universidad Empresa Jaume I,320,433,48201,6100.0,,6100.0,6010.12
Construcción nichos y obras cementerio,220,164,622,140666.67,,140666.67,140236.76
Edificios y construcciones: Servicios múltiples,220,933,632,208017.9,-15430.61,192587.29,187245.04
Amortiz. préstamos Ip: Deuda pública,301,011,913,1628751.72,30450.0,1659201.72,1659199.21
Otras inversiones vías públicas,220,155,619,712851.96,95347.81,808199.77,388253.66
Programa menjar i major a casa,470,23135,450,21055.45,5217.94,26273.39,19329.92
Convenio Cáritas,470,23224,48306,34400.0,,34400.0,34400.0
Convenio Antenas Locales COCIN: Desarrollo empre,320,433,479,29790.45,,29790.45,29153.17
Premios concurso escaparatismo,320,430,470,1620.0,-1620.0,,
Adquisición inmuebles PMS: Urbanismo,220,151,681,130123.99,49044.89,179168.88,54044.88
Préstamos a corto plazo: Admón.general,160,9200,830,60000.0,,60000.0,25521.18
Personal Laboral: Obra paro municipal,160,24156,131,40000.0,-40000.0,,
Gratificaciones: Albergue Transeúntes,160,23123,151,,600.0,600.0,684.4
Gastos formalización de préstamos,301,934,311,14000.0,7000.0,21000.0,32250.0
Seguridad Social: PIE ayudas desempleo,160,24157,16000,,900.0,900.0,896.9
Otros suministros: Desarrollo empresarial,320,433,22199,1800.0,,1800.0,30.0
Publicidad y propaganda: Desarrollo empresarial,320,433,22602,2700.0,,2700.0,
Reuniones y conferencias: Desarrollo empresarial,320,433,22606,2700.0,,2700.0,1277.35
Combustible y carburantes: Ayuda a domicilio,470,23136,22103,1000.0,,1000.0,1703.81
Otros gastos diversos: Casal Jove,450,23216,22699,17000.0,-2000.0,15000.0,13972.06
Retribuciones básicas: Acceso a la vivienda,160,153,120,14072.36,13484.8,27557.16,37932.56
Retribuciones complementaria: Acceso a la vivienda,160,153,121,21039.7,,21039.7,21039.7
Otros suministros: Protección civil,170,134,22199,1000.0,3000.0,4000.0,3388.54
Inversión terrenos y b.: Instalaciones deportivas,220,342,621,101724.14,,101724.14,101724.14
Otros contratos servicios: Escola d'Estiu,450,23211,22799,,43921.2,43921.2,31892.5
Productividad: Admón Gral Fomento Empleo,160,24100,150,,1000.0,1000.0,1702.8
Productividad: Admón Gral SS,160,230,150,,4350.0,4350.0,4274.37
Gratificaciones: Educación,160,320,151,,6700.0,6700.0,4553.47
Reparación parque móvil: Ayuda a domicilio,470,23136,214,1000.0,,1000.0,704.91
Elementos de transporte: Servicios generales,160,9200,624,1500.0,,1500.0,
Transferencia Emsevall: Déficit empresa,301,934,449,1185536.28,,1185536.28,1185536.28
Tributos Generalitat (ITV): Seguridad y Orden Públ,170,132,22501,,,,386.76
Convenio Transp.adap.Fund.Alzheimer Salomé Moliner,470,2339,480,18000.0,,18000.0,13500.0
Inversiones en parques y jardines,220,171,619,37500.0,-9866.2,27633.8,22081.94
Seguridad Social: Paro INEM,160,24155,16000,,67699.94,67699.94,62828.45
Arrendam. equipos informáticos: Nuevas tecnologías,180,9200,206,,,,4973.76
Otros suministros: Centros sociales,470,23228,22199,2500.0,,2500.0,
Subvenciones para el fomento del empleo,320,24100,470,20000.0,,20000.0,7125.0
Convenio Cáritas Centre Esplai-Reforç Educatiu,470,23224,48309,,24710.0,24710.0,
Productividad: Gestión del Sistema tributario,160,932,150,,,,1225.0
Convenio Amics de la Vall-Música i Paraula,480,334,48513,2500.0,,2500.0,2500.0
Pers.lab..temporal: Educación,160,320,131,,12100.0,12100.0,11691.24
Nuevas inversiones infraestruc.: Vías Públicas,220,155,609,,21618.12,21618.12,
Ret.básicas: CRIS,160,2337,120,9231.5,-9200.0,31.5,
Ret.complementarias: CRIS,160,2337,121,12528.84,-12500.0,28.84,
Gratificaciones: Deporte,160,340,151,,8242.27,8242.27,8242.26
"Formación, reuniones: Gestión deuda y tesorería",301,934,22606,,,,60.0
Reparaciones instalaciones: Comercio,320,430,213,,,,4219.27
Reparación y conservación elem. Trans: Agricultura,240,410,214,,,,420.68
Pers.lab.temporal: PID mayores 45 años,160,24111,131,,6900.0,6900.0,6600.99
Pers.lab.temporal: PID menores 30 años,160,24112,131,,2150.0,2150.0,1890.39
Convenio Associació Cultural Jacinto Agustí,480,334,789,,55284.77,55284.77,55284.77
Convenio APA Centro Preescolar Carbonaire,450,321,48514,,15000.0,15000.0,15000.0
Ret.básicas: PIE menores de 30 años,160,24112,120,,2500.0,2500.0,2481.76
Ret.compl.: PIE memores de 30 años,160,24112,121,,2300.0,2300.0,2288.96
Gratificaciones: Centre d'Esplai i Centre Jove,160,23212,151,,,,416.4
